,S. No.,Message_body,Label,cleaned,target
0,1,Rofl. Its true to its name,Non-Spam,rofl true name,0
1,2,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam,guy bitching acted like interested buying something else next week gave free,0
2,3,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam,pity mood soany suggestion,0
3,4,Will ü b going to esplanade fr home?,Non-Spam,going esplanade home,0
4,5,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam,time tried contact pound prize claim easy call per minute btnationalrate,1
5,6,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam,reminder get pound free call credit detail great offer pls reply text valid name house postcode,1
6,7,Huh y lei...,Non-Spam,huh lei,0
7,8,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam,wait least wednesday see get,0
8,9,Ard 6 like dat lor.,Non-Spam,ard like dat lor,0
9,10,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam,lor sony ericsson salesman ask shuhui say quite use considering,0
10,11,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam,get dump heap mom decided lowes boring,0
11,12,Anything lor. Juz both of us lor.,Non-Spam,anything lor juz lor,0
12,13,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam,next ltgt hour imma flip shit,0
13,14,"Sorry, I'll call later",Non-Spam,sorry call later,0
14,15,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam,meant calculation ltgt unit ltgt school really expensive started practicing accent important decided year dental school nmde exam,0
15,16,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam,yes texted pshewmissing much,0
16,17,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam,yeh indian nice tho kane bit shud drink sometime soon mite hav work laugh soon love pete,0
17,18,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam,well keep mind got enough gas one round trip barring sudden influx cash,0
18,19,Hahaha..use your brain dear,Non-Spam,hahahause brain dear,0
19,20,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam,safe trip nigeria wish happiness soon share moment,0
20,21,Wen did you get so spiritual and deep. That's great,Non-Spam,wen get spiritual deep great,0
21,22,"Cool, what time you think you can get here?",Non-Spam,cool time think get,0
22,23,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam,know wot people wear shirt jumper hat belt know cribbs,0
23,24,"No, I was trying it all weekend ;V",Non-Spam,trying weekend,0
24,25,Ic. There are a lotta childporn cars then.,Non-Spam,lotta childporn car,0
